place_id,name,address,lat,lon,reviews
ChIJK2_6xv9RdV8RqwOWvp-2JRk,拓土創始之碑,日本、〒049-5821 北海道虻田郡洞爺湖町大原,42.67461,140.841811,
ChIJNUQNEmCPjl8RYGoOHmPTME8,南光坊坂開道の碑,日本、〒999-8521 山形県飽海郡遊佐町吹浦西楯,39.078475,139.873479,"庄内から秋田に通じる羽州浜街道は、吹浦から女鹿にかけては大変な悪路だったそうです。元禄2年(1689)「おくのほそ道」の道中、酒田から象潟に向かった芭蕉と曽良はその悪路の浜街道を辿りました。街道を行き来する旅人や住民の難儀を解消しようとして、天保10年(1839)に永順法印によって南光坊坂が開道されました。 | 南光坊永順法師が、1839年ころから新道として開削を始めた。完成後法師の功績をたたえて、この地に建立した石碑である。現地を見れば、現在の様な機械が無かった時代に、これを完成させた事はどれほどの偉業なのか解る。  Minami Kobo Eijun began to dig a new road around 1839. It is a monument erected on this land in honor of the practitioner after completion. If you look at the site, you can see how great it was to complete it in a time when there was no machine like the present. | でって場所わからん |  | "
ChIJD3flo7AXjF8RJTnqLzF7a9c,原敬句碑,日本、〒997-1204 山形県鶴岡市加茂 QP5V+MW,38.759234,139.744758,"第19代内閣総理大臣のコメントが記されている。コンクリ製の東屋がありちょっと展望性もある。
加茂の町が一望出来て最高！途中の道は狭いので注意。"
ChIJ2aivmGBRAWARaxVsh363FFE,松尾芭蕉句碑,日本、〒518-0861 三重県伊賀市上野東町２９４６,34.7663752,136.1310091,通りすがりに偶然見つけました〜 とてもユニークな場所ですね
ChIJQ9uYSBQJAWARZETa5YciTi4,松尾芭蕉句碑,日本、〒602-0896 京都府京都市上京区上御霊竪町,35.036565,135.7611372,"俳聖松尾芭蕉は元禄3年（1690）当社に参詣 「半日は神を友にや年忘」 の句を奉納、 句碑は井戸館東側にあります。 Basho Matsuo, a haiku master, visited our company in 1690. ""Half a day is God's friend and New Year's holiday"" dedication of the phrase, The monument is located on the east side of the Idokan.
令和6年 12月1日 京都紅葉の旅🍁  芭蕉句碑 上御霊神社  1690年(皇紀2350)元禄３年12月 向井去来ら門人と上御霊神社を参拝されて、別当家で半日を過ごし「年忘歌仙」を奉納されました。 「半日は神を友にや年忘」"
ChIJTZ84oxJTAWARWFQ1SOIcU-I,松尾芭蕉句碑,日本、〒518-1152 三重県伊賀市予野９９３１,34.7041346,136.0970144,
ChIJ9RezUbCjiV8R6vuIzlebq9I,松尾芭蕉句碑,日本、〒986-0833 宮城県石巻市日和が丘２丁目１−２,38.4235826,141.3081723,"芭蕉翁一行のあとを訪ねてこちらの石碑に至りました 雲折々人を休める月見かな とあるそうです さて この石碑は石巻日和山公園にあります 震災復興以降三回目の訪問 公園内の神社の鳥居が南の海に向かっています ずいぶんと工事が進んでいます！
雲折々 人を休める 月見かな"
ChIJXdB19l1pi18RmIrSCJwHDkU,松尾芭蕉句碑,日本、〒958-0041 新潟県村上市岩船三日市７−６,38.1956445,139.4337716,
ChIJRSkzEuWmH2AReGTVAC1pCY0,松尾芭蕉句碑,日本、〒321-1436 栃木県日光市久次良町１７８６,36.7491864,139.5806741,"憾満ガ淵から大日橋を渡った河原にあります。明治３５年の大洪水でお堂は流失してしまったようで、観光で訪れる方も少なく静かな日光を楽しめます。
明治の大洪水で大日堂は失われてしまったとのことですが、庭園跡の水が綺麗です。  ひっそりと佇むお地蔵さん。 癒されます。
自転車で来ましたなあ☺️素晴らしき橋に感動しました。
日光大日橋のすぐ脇にあります。以前建てられていた句碑が洪水で流されたことを残念に思い、拓本をもとにして建て直されたそうです。 あらたふと青葉若葉の日の光り
あらたふと　青葉若葉の　日の光里 松尾芭蕉の句がきざまれている。明治35年(1902)の洪水で流出してしまったが、7年後に再建され、同じこの場所に置かれた。"
ChIJpd5CZ5x59l8R9CekBJUa6Hs,松尾芭蕉句碑,日本、〒942-0081 新潟県上越市五智３丁目２０−３５,37.1676587,138.2249049,"五智国分寺境内にある松尾芭蕉句碑は江戸時代1770年に建立されたもので、芭蕉が1689年７月8日奥の細道の際、高田城下で詠んだ「薬欄にいづれの花を草枕」の句が刻まれています。
「薬欄に いづれの花を くさ枕」の句碑です。 高田の医師春庵宅で1689年に詠まれた句だそうです。

"
ChIJqff3EgBpHmARAIyEt47p58s,松尾芭蕉句碑,日本、〒378-0033 群馬県沼田市白岩町３７８ 0033,36.6520826,139.029637,何が刻まれているか見えなくなってますが、調べてみると 「しばらくは　花の上なる　月夜かな」 だそうです。 このあたりは田んぼと山々の眺めが気持ち良いです。
ChIJX_3IcUsq-F8R8Wjv-P3ypvs,松尾芭蕉句碑,日本、〒932-0122 富山県小矢部市浅地,36.6257133,136.8719746,"富山にいながら初めて訪れました。寮の停電で外出して朝食食べるために、三連休真ん中とあってそれなりに車ありましたが店内は空いてるのになんとうどんそばは天ぷら以外は売り切れ 朝早くに団体客でも入ったのか?すぐに注文市たものは出てきたが2人でやってるからか食べ終わった所ほぼ埋まってて洗う余裕がないのかな?と 結局ラーメンを食べました。味はまずまずでした
レストラン入口の券売機で食券を買い「ぶりフライ定食」を食べてみました。揚げ立てアツアツでふっくら柔らかくとても美味しかったですよ。 今度は他のメニューも食べてみたいですねぇ。
カツカレー美味しかったよー お肉も柔らかった☺️
夜は食べる場所もなく、閑散としています
ブラックラーメンあるよ"
ChIJQVjYXcuk918R2cEn7HLjJZE,松尾芭蕉句碑,日本、〒937-0823 富山県魚津市湯上,36.7960763,137.418126,"サービスエリアの向かって左側にあります 芭蕉が観ることが叶わなかった有磯海(富山湾)はここを抜けた先から眺めることができます
早稲の香やわけ入る右は有磯海　北陸では有名な芭蕉の句。木陰にある。
松尾芭蕉✨
富山ブラック900円。ちょっと高いがしょうがないね！
"
ChIJST-VxX6d918R9Z3jMk6Ucko,松尾芭蕉句碑,日本、〒934-0025 富山県射水市八幡町２丁目２,36.7804353,137.0947738,■松尾芭蕉句碑 富山県新湊にある石碑。射水市の放生津八幡宮にある松尾芭蕉の句碑。  名称：早稲の香 句碑 天保14年(1843)建立 平成元年(1989)7月27日市指定文化財(史跡)  ●神社の奥に配されている。判り易い表札が有り難い。磯近くの浜風と早稲の稲穂がたなびき、其の香りが折混ざった情景、匂いが加わる楽しい句だ。  表札文を以下に記す。 『　この石碑に刻まれた「 早稲の香や分け入る右は有磯海 」の句は俳人松尾芭蕉が『奥の細道』の旅で東北地方を巡って北陸に入り、越中を通ったときに詠んだものです。 芭蕉は、元禄二年(一六八九)七月十四日に滑川を発ち、海沿いの浜往来を西へ進んで放生津に入りました。 浜往来は、放生津八幡宮の南を通っている越中の主要街道の一つで、ここから一.八キロメートル西方にあった追分の辻で氷見方面と高岡方面に分岐していました。 この追分の辻で、万葉の歌に詠まれた名所、氷見の田子の白藤を訪ねようと芭蕉が道を尋ねると「辺鄙なところで宿もなかろう」 といわれたため、氷見行きを断念 して高岡へ向かったとされます。 この句碑は、芭蕉の一五〇回忌にあたる天保一四年(一八四三)に、放生津町の俳人子邁が芭蕉を偲んで建てたものです。  子邁は、京都で出版された俳諧 集の巻頭序文を執筆した人物で、幕末に越中で刊行された俳諧集 「多磨比路飛」に俳句を投稿しており、当時の放生津で俳諧が盛んであったことがわかります。 射水市教育委員会　』
